Date,AAPL,ACN,AMD,AMZN,BABA,BAC,BBY,BLK,COST,CVS,DIS,DPZ,F,FB,GE,GILD,GM,GOOG,IBM,INTU,JD,JPM,KO,LUV,MA,MCD,META,MSFT,NAT,NFLX,NVDA,PBI,PFE,QCOM,RRC,SBUX,SPY,T,TGT,TM,TSLA,UAA,UL,UNH,VZ,WMT,XOM
1990-01-02,0.26094916462898254,,4.125,,,4.3347344398498535,0.1294882893562317,,7.766414165496826,4.932382106781006,6.854019641876221,,2.115593910217285,,11.342826843261719,,,,9.535120010375977,,,3.2227914333343506,2.072805643081665,0.888730525970459,,4.313655853271484,,0.3771868944168091,,,,2.828216075897217,0.8851712942123413,,3.249448299407959,,,1.3490254878997803,2.664303779602051,15.936408042907715,,,2.1237070560455322,0.2977233827114105,4.830865859985352,1.1857168674468994,3.729628324508667
1990-01-03,0.2627003788948059,,4.0,,,4.369599342346191,0.1450270265340805,,7.8916802406311035,5.027760028839111,6.868858814239502,,2.127281427383423,,11.321584701538086,,,,9.620253562927246,,,3.3302180767059326,2.0429091453552246,0.8704060316085815,,4.267268657684326,,0.3793122470378876,,,,2.828216075897217,0.8882883191108704,,3.249448299407959,,,1.325587272644043,2.689971923828125,15.993329048156738,,,2.1403844356536865,0.29164713621139526,4.820273399353027,1.1857168674468994,3.6923320293426514
1990-01-04,0.2635769546031952,,3.9375,,,4.276628017425537,0.1424376666545868,,7.975184917449951,5.041386604309082,6.861441612243652,,2.127281427383423,,11.257866859436035,,,,9.729713439941406,,,3.343647003173828,2.0329442024230957,0.8749864101409912,,4.189967155456543,,0.39046820998191833,,,,2.828216075897217,0.9023140072822571,,3.249448299407959,,,1.3147227764129639,2.6951043605804443,16.220991134643555,,,2.145944356918335,0.28860923647880554,4.680136680603027,1.1794267892837524,3.6550376415252686
1990-01-05,0.26445236802101135,,3.8125,,,4.183658123016357,0.1424376666545868,,8.016945838928223,5.000507831573486,6.883692264556885,,2.098062515258789,,11.151659965515137,,,,9.705385208129883,,,3.357074737548828,2.0163352489471436,0.8704060316085815,,4.112659931182861,,0.3809058964252472,,,,2.8429465293884277,0.8945223689079285,,3.249448299407959,,,1.2513625621795654,2.70024037361145,15.993329048156738,,,2.1181461811065674,0.2764573395252228,4.573160648345947,1.1668466329574585,3.6363887786865234
1990-01-08,0.2662036716938019,,3.8125,,,4.206899642944336,0.13207831978797913,,7.870800495147705,4.891505241394043,6.942798137664795,,2.098062515258789,,11.215378761291504,,,,9.766199111938477,,,3.357074737548828,2.059519052505493,0.8795683979988098,,4.189967155456543,,0.3867493271827698,,,,2.828216075897217,0.8867297172546387,,3.249448299407959,,,1.2724826335906982,2.7259042263031006,16.050243377685547,,,2.1125881671905518,0.2703808844089508,4.610601425170898,1.182571530342102,3.6923320293426514
1990-01-09,0.2635769546031952,,3.875,,,4.206899642944336,0.13207831978797913,,7.808166980743408,4.809756278991699,6.93537712097168,,2.0629961490631104,,10.981729507446289,,,,9.668905258178711,,,3.249650478363037,2.0429091453552246,0.8429189324378967,,4.15904426574707,,0.38568705320358276,,,,2.8061208724975586,0.8680292963981628,,3.249448299407959,,,1.243443489074707,2.689971923828125,15.936408042907715,,,2.090351104736328,0.26430535316467285,4.482231140136719,1.151120662689209,3.617741823196411
1990-01-10,0.2521931231021881,,3.8125,,,4.125550270080566,0.1294882893562317,,7.641149044036865,4.768880844116211,6.712611675262451,,2.0805299282073975,,11.002974510192871,,,,9.632416725158691,,,3.236220359802246,2.0296225547790527,0.8154327273368835,,4.081739902496338,,0.3750620186328888,,,,2.7987570762634277,0.8836135268211365,,3.249448299407959,,,1.209122657775879,2.689971923828125,15.936408042907715,,,2.079231023788452,0.2673432528972626,4.36455774307251,1.151120662689209,3.6363887786865234
1990-01-11,0.2416848987340927,,3.875,,,4.090688228607178,0.12689894437789917,,7.348865032196045,4.864258289337158,6.712611675262451,,2.1039068698883057,,11.002974510192871,,,,9.717550277709961,,,3.1959352493286133,2.0296225547790527,0.778784453868866,,4.050815105438232,,0.3676241636276245,,,,2.828216075897217,0.8742630481719971,,3.249448299407959,,,1.2196834087371826,2.705371856689453,15.993329048156738,,,2.079231023788452,0.2612674832344055,4.380605697631836,1.163700819015503,3.6550376415252686
1990-01-12,0.2416848987340927,,3.75,,,3.9744746685028076,0.12430892884731293,,6.93131685256958,4.796131134033203,6.51954984664917,,2.045464277267456,,10.726826667785645,,,,9.522955894470215,,,3.169079065322876,1.9565421342849731,0.7696222066879272,,3.9735090732574463,,0.3660307228565216,,,,2.769296407699585,0.8586791157722473,,3.249448299407959,,,1.182722568511963,2.6283679008483887,15.76565933227539,,,2.034754991531372,0.252153217792511,4.193402290344238,1.1196694374084473,3.561797857284546
1990-01-15,0.23993374407291412,,3.625,,,3.858262777328491,0.12689894437789917,,6.847806930541992,4.768880844116211,6.526973724365234,,2.022087574005127,,10.641866683959961,,,,9.547279357910156,,,3.169079065322876,1.9233254194259644,0.7833659052848816,,3.9271280765533447,,0.3660307228565216,,,,2.688279628753662,0.85712069272995,,3.249448299407959,,,1.164242148399353,2.5873000621795654,15.76565933227539,,,2.0125181674957275,0.25822898745536804,4.209446430206299,1.1039437055587769,3.608419895172119
