date,SPY
1993-01-29,24.175390243530273
1993-02-01,24.34733009338379
1993-02-02,24.39891242980957
1993-02-03,24.656827926635742
1993-02-04,24.76000213623047
1993-02-05,24.742807388305664
1993-02-08,24.742807388305664
1993-02-09,24.57085418701172
1993-02-10,24.605247497558594
1993-02-11,24.72559356689453
1993-02-12,24.536466598510742
1993-02-16,23.917465209960938
1993-02-17,23.900264739990234
1993-02-18,23.88308334350586
1993-02-19,23.969053268432617
1993-02-22,24.05502700805664
1993-02-23,24.037832260131836
1993-02-24,24.34733009338379
1993-02-25,24.39891242980957
1993-02-26,24.433305740356445
1993-03-01,24.36452293395996
1993-03-02,24.72559356689453
1993-03-03,24.828781127929688
1993-03-04,24.691213607788086
1993-03-05,24.62244415283203
1993-03-08,25.172672271728516
1993-03-09,25.086681365966797
1993-03-10,25.138277053833008
1993-03-11,25.06950569152832
1993-03-12,24.811573028564453
1993-03-15,24.931947708129883
1993-03-16,24.931947708129883
1993-03-17,24.77718734741211
1993-03-18,24.931947708129883
1993-03-19,24.894203186035156
1993-03-22,24.755996704101562
1993-03-23,24.807830810546875
1993-03-24,24.807830810546875
1993-03-25,24.963302612304688
1993-03-26,24.825105667114258
1993-03-29,24.928762435913086
1993-03-30,24.99787139892578
1993-03-31,24.980592727661133
1993-04-01,24.894203186035156
1993-04-02,24.37592315673828
1993-04-05,24.496864318847656
1993-04-06,24.427780151367188
1993-04-07,24.51414680480957
1993-04-08,24.479598999023438
1993-04-12,24.825105667114258
1993-04-13,24.876935958862305
1993-04-14,24.842374801635742
1993-04-15,24.842374801635742
1993-04-16,24.842374801635742
1993-04-19,24.73872947692871
1993-04-20,24.6177921295166
1993-04-21,24.600509643554688
1993-04-22,24.289562225341797
1993-04-23,24.18589210510254
1993-04-26,23.995878219604492
1993-04-27,24.255014419555664
1993-04-28,24.203182220458984
1993-04-29,24.30682945251465
1993-04-30,24.341384887695312
1993-05-03,24.496864318847656
1993-05-04,24.5832576751709
1993-05-05,24.652347564697266
1993-05-06,24.565980911254883
1993-05-07,24.51414680480957
1993-05-10,24.565980911254883
1993-05-11,24.66962432861328
1993-05-12,24.635074615478516
1993-05-13,24.341384887695312
1993-05-14,24.324113845825195
1993-05-17,24.410491943359375
1993-05-18,24.393205642700195
1993-05-19,24.894203186035156
1993-05-20,24.963302612304688
1993-05-21,24.73872947692871
1993-05-24,24.842374801635742
1993-05-25,24.894203186035156
1993-05-26,25.205163955688477
1993-05-27,25.118793487548828
1993-05-28,24.99787139892578
1993-06-01,25.239713668823242
1993-06-02,25.205163955688477
1993-06-03,25.118793487548828
1993-06-04,25.032413482666016
1993-06-07,24.946046829223633
1993-06-08,24.721445083618164
1993-06-09,24.807830810546875
1993-06-10,24.825105667114258
1993-06-11,24.928762435913086
1993-06-14,24.894203186035156
1993-06-15,24.842374801635742
1993-06-16,24.894203186035156
1993-06-17,24.980592727661133
1993-06-18,24.774850845336914
1993-06-21,24.827075958251953
1993-06-22,24.84445571899414
1993-06-23,24.618297576904297
1993-06-24,24.94886016845703
1993-06-25,24.93144416809082
1993-06-28,25.2098331451416
1993-06-29,25.088029861450195
1993-06-30,25.088029861450195
1993-07-01,25.018442153930664
1993-07-02,24.8792667388916
1993-07-06,24.618297576904297
1993-07-07,24.687881469726562
1993-07-08,24.966232299804688
1993-07-09,25.03584861755371
1993-07-12,25.018442153930664
1993-07-13,25.001039505004883
1993-07-14,25.088029861450195
1993-07-15,24.9836368560791
1993-07-16,24.914051055908203
1993-07-19,24.896656036376953
1993-07-20,24.966232299804688
1993-07-21,24.94886016845703
1993-07-22,24.774850845336914
1993-07-23,24.896656036376953
1993-07-26,25.03584861755371
1993-07-27,25.018442153930664
1993-07-28,24.966232299804688
1993-07-29,25.105426788330078
1993-07-30,24.966232299804688
1993-08-02,25.03584861755371
1993-08-03,25.053234100341797
