date,AAPL,ACN,AMD,AMZN,BAC,BLK,COST,CVS,DIS,DPZ,F,GILD,INTU,JD,JPM,KO,LUV,MA,MCD,MSFT,NAT,NVDA,PBI,PFE,SBUX,SPY,TGT,TM,TSLA,UL,UNH,WMT,XOM
2023-01-03,123.09602355957031,258.138916015625,64.0199966430664,85.81999969482422,30.97426986694336,662.3668212890625,435.0462951660156,82.17081451416016,86.92302703857422,324.95819091796875,9.09868335723877,76.83837127685547,382.8005676269531,53.6224250793457,124.92872619628906,57.51914978027344,30.330848693847656,340.24554443359375,246.61038208007812,233.4528045654297,2.2394118309020996,14.300683975219727,3.534588098526001,42.382503509521484,93.15756225585938,366.06915283203125,135.33277893066406,128.38607788085938,108.0999984741211,50.86966323852539,490.9798583984375,46.14738845825195,95.4342041015625
2023-01-04,124.36566162109375,257.2601013183594,64.66000366210938,85.13999938964844,31.556591033935547,671.5390625,438.1943359375,81.34831237792969,89.86376953125,329.8622741699219,9.355749130249023,76.9373550415039,383.1822204589844,61.49275588989258,126.09369659423828,57.49173355102539,31.279850006103516,348.43768310546875,246.66641235351562,223.2408447265625,2.179293394088745,14.734251022338867,3.701645612716675,41.44819641113281,96.51136779785156,368.8952331542969,136.2157745361328,127.37406921386719,113.63999938964844,51.21235656738281,477.593994140625,46.19880294799805,95.71196746826172
2023-01-05,123.04680633544922,251.18540954589844,62.33000183105469,83.12000274658203,31.491891860961914,652.3202514648438,432.0806579589844,79.99515533447266,89.80513763427734,324.53680419921875,9.542712211608887,77.25231170654297,367.5738830566406,61.306697845458984,126.06575012207031,56.83385467529297,31.19611167907715,345.1216125488281,244.58587646484375,216.62448120117188,2.1943230628967285,14.25073528289795,3.9566285610198975,41.059600830078125,96.48365783691406,364.6848449707031,137.58937072753906,125.82355499267578,110.33999633789062,50.4765739440918,463.8294677734375,46.04133605957031,97.85343170166016
2023-01-06,127.57421875,257.135986328125,63.959999084472656,86.08000183105469,31.806163787841797,686.5158081054688,463.446044921875,81.01223754882812,91.7591323852539,328.16693115234375,9.799777030944824,79.25898742675781,378.2403869628906,59.81822204589844,128.47804260253906,57.930328369140625,32.63823318481445,361.3064880371094,251.40579223632812,219.17747497558594,2.216867446899414,14.844138145446777,4.044552803039551,42.101375579833984,98.57168579101562,373.0478515625,142.84283447265625,129.02671813964844,113.05999755859375,51.202274322509766,463.8672790527344,47.1693115234375,99.03616333007812
2023-01-09,128.09584045410156,261.47235107421875,67.23999786376953,87.36000061035156,31.325517654418945,700.4600219726562,459.4917907714844,80.9149398803711,92.58956909179688,319.7956237792969,9.885468482971191,76.5774154663086,387.65374755859375,58.72977066040039,127.9471664428711,57.20848083496094,33.30221176147461,364.54931640625,249.3346405029297,221.31146240234375,2.1943230628967285,15.612370491027832,4.09730863571167,40.009544372558594,96.77005767822266,372.8363952636719,139.45350646972656,129.92730712890625,119.7699966430664,51.353458404541016,463.9241027832031,46.58122634887695,97.19039916992188
2023-01-10,128.66668701171875,262.5993957519531,68.05000305175781,89.87000274658203,31.538110733032227,704.4508666992188,462.0351257324219,80.17205047607422,93.36138153076172,325.3988037109375,10.002318382263184,78.41311645507812,381.1231994628906,59.21352767944336,129.09278869628906,56.769893646240234,33.86332702636719,364.58868408203125,250.88343811035156,222.9972381591797,2.292015314102173,15.893091201782227,4.1500630378723145,39.372894287109375,97.93417358398438,375.4510498046875,139.1145782470703,129.18453979492188,118.8499984741211,51.41393280029297,460.08062744140625,46.552303314208984,98.64192962646484
2023-01-11,131.38311767578125,269.5717468261719,69.05999755859375,95.08999633789062,31.778438568115234,703.1857299804688,464.82806396484375,79.37608337402344,94.11368560791016,335.0919494628906,10.29833698272705,78.4581069946289,387.6242980957031,58.64604568481445,130.05215454101562,56.66025161743164,33.638877868652344,371.3201599121094,250.79006958007812,229.74029541015625,2.224381923675537,15.984996795654297,4.211612224578857,39.232337951660156,98.21135711669922,380.1996154785156,141.7903594970703,128.91529846191406,123.22000122070312,51.37361145019531,467.08599853515625,46.960426330566406,99.788818359375
2023-01-12,131.30438232421875,272.21881103515625,70.80000305175781,95.2699966430664,31.86162567138672,701.362548828125,463.023681640625,78.87195587158203,97.51360321044922,323.3778381347656,10.461926460266113,77.13532257080078,388.9873352050781,58.7669792175293,129.92173767089844,55.92926788330078,34.57406997680664,373.23638916015625,248.81219482421875,232.41017150878906,2.2694711685180664,16.494483947753906,4.141271114349365,39.44731140136719,97.79558563232422,381.5838623046875,142.48606872558594,132.17416381835938,123.55999755859375,51.6255989074707,469.23492431640625,46.53623580932617,101.44644165039062
2023-01-13,132.6331024169922,270.58837890625,71.0,98.12000274658203,32.564125061035156,701.390380859375,465.7302551269531,79.52642059326172,97.11305236816406,323.20538330078125,9.908838272094727,77.63024139404297,385.5651550292969,59.16700744628906,133.20028686523438,56.13028335571289,34.59278106689453,369.0206298828125,250.8647003173828,233.11175537109375,2.3596489429473877,16.882099151611328,4.018176078796387,39.56306076049805,99.0705795288086,383.064208984375,146.81192016601562,130.26156616210938,122.4000015258789,51.84733581542969,463.4603271484375,46.690486907958984,101.38371276855469
2023-01-17,133.79444885253906,273.2162170410156,71.58999633789062,96.05000305175781,31.907838821411133,697.4276123046875,467.1890869140625,79.04000091552734,97.61132049560547,329.6706848144531,9.869889259338379,76.85638427734375,382.61370849609375,55.78071975708008,131.14187622070312,56.35871124267578,34.63953399658203,368.5096740722656,255.7348175048828,234.20310974121094,2.419767379760742,17.684297561645508,3.8687028884887695,38.09960174560547,98.62712097167969,382.3625183105469,144.58209228515625,134.4117431640625,131.49000549316406,51.49456787109375,459.20965576171875,46.40768814086914,101.18659973144531
